Panelist ID,Panelist Type,Combined Pre-Tax Income of HH,Family Size,HH_RACE,Type of Residential Possession,COUNTY,HH_AGE,HH_EDU,HH_OCC,Age Group Applied to Male HH,Education Level Reached by Male HH,Occupation Code of Male HH,Male Working Hour Code,MALE_SMOKE,Age Group Applied to Female HH,Education Level Reached by Female HH,Occupation Code of Female HH,Female Working Hour Code,FEM_SMOKE,Number of Dogs,Number of Cats,Children Group Code,Marital Status,Language,Number of TVs Used by HH,Number of TVs Hooked to Cable,Year,HISP_FLAG,HISP_CAT,HH Head Race (RACE2),HH Head Race (RACE3),Microwave Owned by HH,ZIPCODE,FIPSCODE,market based upon zipcode,IRI Geography Number,EXT_FACT
3131615,6,6,2,1,2,C,6,4,10,7,9,11,7,.,6,4,10,4,.,0,0,8,2,.,3,3,3,0,.,1,1,1,54703,55017,3,3,1
3131631,6,10,1,.,2,C,0,0,0,7,9,11,7,.,7,9,11,7,.,0,0,8,2,.,.,.,3,.,.,.,0,.,54703,55017,3,3,1
3131649,6,4,1,1,2,D,6,7,10,7,9,11,7,.,6,7,10,4,0,1,0,8,4,.,3,2,3,0,.,1,1,1,54701,55033,3,3,1
3131656,6,6,1,1,2,D,6,6,10,7,9,11,7,.,6,6,10,4,0,0,0,8,1,.,1,1,3,0,.,1,1,1,54701,55033,3,3,1
3131672,6,4,1,.,2,D,0,0,0,7,9,11,7,.,7,9,11,7,.,0,0,8,1,.,.,.,3,.,.,.,0,.,54701,55033,3,3,1
3131680,6,8,2,1,2,D,5,5,10,5,5,10,4,.,7,9,11,7,.,0,0,8,2,.,7,7,3,0,.,1,1,1,54701,55033,3,3,1
3131698,6,6,2,1,2,C,6,6,10,6,6,10,4,0,6,6,10,4,0,0,0,8,2,.,2,2,3,0,.,1,1,1,54703,55017,3,3,1
3131706,6,6,2,1,2,D,6,0,0,6,4,1,3,.,7,9,11,7,.,0,0,8,2,.,1,1,3,0,.,1,1,1,54701,55033,3,3,1
3131730,0,4,1,.,2,C,0,0,0,7,9,11,7,.,7,9,11,7,.,0,0,8,1,.,.,.,3,.,.,.,0,.,54703,55017,3,3,1
3131748,6,5,2,1,2,D,6,4,10,6,4,10,4,.,7,9,11,7,.,0,2,8,2,.,2,2,3,0,.,1,1,1,54701,55033,3,3,1
3131755,6,3,2,1,2,C,6,4,10,7,9,11,7,.,6,4,10,4,0,0,1,8,1,.,2,1,3,0,.,1,1,1,54703,55017,3,3,1
3131771,6,4,3,1,2,C,6,4,10,6,4,10,4,.,7,9,11,7,.,0,0,8,2,.,3,2,3,0,.,1,1,1,54703,55017,3,3,1
3131789,6,6,2,1,1,C,6,4,10,6,2,10,4,0,6,4,10,4,0,0,0,8,2,.,2,1,3,0,.,1,1,1,54703,55017,3,3,1
3131797,5,9,2,1,2,C,6,6,10,6,5,10,4,0,6,6,10,4,0,0,0,8,2,.,5,3,3,0,.,1,1,1,54703,55017,3,3,1
3131805,6,2,2,1,2,C,6,3,1,6,4,10,4,0,6,3,1,2,0,0,0,8,2,.,1,1,3,0,.,1,1,1,54739,55017,3,3,1
3131821,6,8,4,.,2,D,4,8,1,4,7,13,1,0,4,8,1,3,0,0,0,3,2,.,2,2,3,0,.,4,4,1,54701,55033,3,3,1
3131912,5,8,1,1,2,D,5,4,10,7,9,11,7,.,5,4,10,4,0,1,0,8,4,.,4,4,3,0,.,1,1,1,54701,55033,3,3,1
3131920,6,7,4,1,2,C,6,3,10,6,3,10,4,.,7,9,11,7,.,1,4,8,2,.,3,3,3,0,.,1,1,1,54729,55017,3,3,1
3131938,6,2,1,1,1,D,6,4,10,7,9,11,7,.,6,4,10,4,0,0,1,8,3,.,2,1,3,0,.,1,1,1,54701,55033,3,3,1
3131961,6,4,2,1,2,D,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,.,2,2,3,0,.,1,1,1,54701,55033,3,3,1
3131995,6,7,2,1,2,C,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,.,3,3,3,0,.,1,1,1,54729,55017,3,3,1
3132001,6,1,2,1,2,C,6,2,10,6,2,10,4,0,6,2,10,4,0,0,0,8,2,.,1,1,3,0,.,1,1,1,54729,55017,3,3,1
3132068,6,1,1,.,2,C,0,0,0,7,9,11,7,.,7,9,11,7,.,0,0,8,3,.,.,.,3,.,.,.,0,.,54703,55017,3,3,1
3132084,6,5,3,1,1,C,5,6,2,4,4,13,1,1,5,6,2,2,1,1,1,8,2,.,5,5,3,0,.,1,1,1,54720,55035,3,3,1
3132100,6,4,1,1,1,D,0,0,0,7,9,11,7,.,7,9,11,7,.,0,2,8,3,.,1,1,3,0,.,1,1,1,54701,55033,3,3,1
3132118,6,8,1,.,2,C,0,0,0,7,9,11,7,.,7,9,11,7,.,0,0,8,2,.,.,.,3,.,.,.,0,.,54703,55017,3,3,1
3132191,5,2,1,1,2,C,5,5,10,7,9,11,7,.,5,5,10,4,0,2,2,8,3,1,1,1,3,0,.,1,1,1,54703,55017,3,3,1
3132209,6,4,3,1,2,C,6,6,10,6,4,10,4,0,6,6,10,4,0,0,1,8,2,.,3,3,3,0,.,1,1,1,54739,55017,3,3,1
3132290,6,5,2,1,2,C,5,4,13,5,4,13,1,.,7,9,11,7,.,0,1,8,2,.,4,4,3,0,.,1,1,1,54720,55035,3,3,1
3132324,6,4,1,1,2,C,6,4,10,7,9,11,7,.,6,4,10,4,0,0,0,8,4,.,3,3,3,0,.,1,1,1,54703,55017,3,3,1
3132332,6,4,1,.,2,D,0,0,0,7,9,11,7,.,7,9,11,7,.,0,0,8,4,.,.,.,3,.,.,.,0,.,54701,55033,3,3,1
3132365,6,8,1,.,2,C,0,0,0,7,9,11,7,.,7,9,11,7,.,0,0,8,2,.,.,.,3,.,.,.,0,.,54703,55017,3,3,1
3132381,6,8,1,1,1,C,0,0,0,7,9,11,7,.,7,9,11,7,.,0,0,8,4,.,1,1,3,0,.,1,1,1,54703,55017,3,3,1
3132449,6,8,2,1,2,C,6,5,2,5,7,7,3,1,6,5,2,3,0,0,0,8,2,.,1,2,3,0,.,1,1,1,54703,55017,3,3,1
3132456,6,2,1,3,1,C,0,0,0,7,9,11,7,.,7,9,11,7,.,0,1,8,4,.,2,2,3,1,1,97,1,1,54703,55017,3,3,1
3132498,6,2,1,1,1,C,6,3,10,6,3,10,4,0,7,9,11,7,.,0,0,8,1,.,1,1,3,0,.,97,1,1,54703,55017,3,3,1
3132514,6,4,1,1,2,D,6,4,13,6,4,13,1,0,7,9,11,7,.,0,0,8,4,.,2,4,3,0,.,1,1,1,54701,55033,3,3,1
3132563,6,6,1,.,1,C,6,8,1,7,9,11,7,.,6,8,1,3,0,0,0,8,1,.,1,1,3,0,.,1,1,1,54720,55035,3,3,1
3132571,6,3,1,1,2,D,6,4,10,7,9,11,7,.,6,4,10,4,1,0,1,8,4,.,1,1,3,0,.,1,1,1,54701,55033,3,3,1
3132589,6,8,3,1,2,D,5,7,2,5,7,2,3,.,7,9,11,7,.,0,0,8,2,.,2,2,3,0,.,1,1,1,54701,55033,3,3,1
3132597,5,6,2,1,2,C,6,4,13,6,4,13,1,0,6,4,13,1,0,1,0,8,2,.,2,2,3,0,.,1,1,1,54703,55017,3,3,1
3132605,5,6,4,1,1,D,2,6,1,2,6,1,3,0,2,6,1,2,0,0,0,1,2,.,1,1,3,0,.,1,1,1,54701,55033,3,3,1
3132613,6,1,1,.,1,D,0,0,0,7,9,11,7,.,7,9,11,7,.,0,0,8,1,.,.,.,3,.,.,.,0,.,54701,55033,3,3,1
3132621,6,6,1,.,2,D,0,0,0,7,9,11,7,.,7,9,11,7,.,0,0,8,3,.,.,.,3,.,.,.,0,.,54701,55033,3,3,1
3132639,6,8,1,.,2,C,0,0,0,7,9,11,7,.,7,9,11,7,.,0,0,8,2,.,.,.,3,.,.,.,0,.,54703,55017,3,3,1
3132662,6,1,1,1,2,C,0,0,0,7,9,11,7,.,7,9,11,7,.,0,0,8,1,.,1,1,3,0,.,1,1,1,54703,55017,3,3,1
3132712,6,7,1,.,2,C,0,0,0,7,9,11,7,.,7,9,11,7,.,0,0,8,1,.,.,.,3,.,.,.,0,.,54703,55017,3,3,1
3132738,6,4,1,.,1,D,0,0,0,7,9,11,7,.,7,9,11,7,.,0,0,8,3,.,.,.,3,.,.,.,0,.,54701,55033,3,3,1
3132761,6,1,1,1,1,D,6,6,10,7,9,11,7,.,6,6,10,4,0,0,0,8,4,.,1,1,3,0,.,1,1,1,54701,55033,3,3,1
3132795,6,3,1,1,2,C,6,6,10,7,9,11,7,.,6,6,10,4,0,0,1,8,4,.,1,1,3,0,.,1,1,1,54720,55035,3,3,1
3132803,6,5,1,1,2,C,0,0,0,7,9,11,7,.,7,9,11,7,.,1,0,8,4,.,2,2,3,0,.,1,1,1,54703,55017,3,3,1
3132811,6,4,1,1,1,C,6,6,10,7,9,11,7,.,6,6,10,4,0,0,0,8,4,.,2,2,3,0,.,1,1,1,54720,55035,3,3,1
3132829,6,3,1,1,2,C,0,0,0,7,9,11,7,.,7,9,11,7,.,0,0,8,4,.,2,2,3,0,.,1,1,1,54703,55017,3,3,1
3132845,6,3,1,1,2,C,6,8,10,7,9,11,7,.,6,8,10,4,0,0,0,8,4,.,2,1,3,0,.,1,1,1,54703,55017,3,3,1
3132852,6,4,3,1,1,C,4,4,13,7,9,11,7,.,4,4,13,1,0,0,0,8,3,.,2,2,3,0,.,1,1,1,54720,55035,3,3,1
3132894,6,5,1,.,2,C,0,0,0,7,9,11,7,.,7,9,11,7,.,0,0,8,2,.,.,.,3,.,.,.,0,.,54703,55017,3,3,1
3132969,6,9,1,1,2,C,5,5,6,5,5,6,3,0,7,9,11,7,.,0,0,8,3,.,1,1,3,0,.,1,1,1,54703,55017,3,3,1
3132977,6,7,2,1,2,C,6,5,10,6,2,10,4,0,6,5,10,4,0,0,0,8,2,.,5,5,3,0,.,1,1,1,54703,55017,3,3,1
3133025,5,12,2,1,2,D,6,6,10,6,8,10,4,0,6,6,10,4,0,0,0,8,2,.,6,6,3,0,.,1,1,1,54701,55033,3,3,1
3133033,6,10,2,1,2,C,5,6,4,5,4,2,3,0,5,6,4,3,0,0,0,8,2,.,5,5,3,0,.,1,1,1,54703,55017,3,3,1
3133058,6,8,4,1,2,C,2,6,13,2,5,7,3,0,2,6,13,5,0,0,0,4,2,.,3,2,3,0,.,1,1,1,54739,55017,3,3,1
3133066,6,5,2,1,2,C,6,4,10,6,4,10,4,0,6,4,10,4,0,0,1,8,2,.,2,2,3,0,.,1,1,1,54720,55035,3,3,1
3133074,6,8,1,.,1,C,0,0,0,7,9,11,7,.,7,9,11,7,.,0,0,8,1,.,.,.,3,.,.,.,0,.,54720,55035,3,3,1
3133124,6,9,2,1,2,C,5,7,10,5,7,10,4,.,7,9,11,7,.,0,0,8,2,.,1,1,3,0,.,1,1,1,54703,55017,3,3,1
3133157,0,7,1,.,2,C,0,0,0,7,9,11,7,.,7,9,11,7,.,0,0,8,2,.,.,.,3,.,.,.,0,.,54703,55017,3,3,1
3133173,6,7,1,1,2,C,0,0,0,7,9,11,7,.,7,9,11,7,.,0,0,8,2,.,2,2,3,0,.,1,1,1,54703,55017,3,3,1
3133181,0,7,1,.,2,C,0,0,0,7,9,11,7,.,7,9,11,7,.,0,0,8,2,.,.,.,3,.,.,.,0,.,54739,55017,3,3,1
3133207,6,11,3,1,2,D,4,5,3,4,7,13,5,0,4,5,3,3,0,1,0,3,2,.,4,4,3,0,.,1,1,1,54701,55033,3,3,1
3133215,6,6,1,1,2,D,6,4,10,7,9,11,7,.,6,4,10,4,0,0,0,8,4,.,2,2,3,0,.,1,1,1,54701,55033,3,3,1
3133223,6,7,2,1,2,D,6,6,10,6,5,10,4,0,6,6,10,4,0,0,0,8,2,.,4,4,3,0,.,1,1,1,54701,55033,3,3,1
3133389,6,11,2,1,2,C,6,5,10,6,5,3,3,0,6,5,10,4,0,0,0,8,2,.,4,4,3,0,.,1,1,1,54739,55017,3,3,1
3133397,5,4,2,1,2,C,6,4,10,6,5,10,4,0,6,4,10,4,0,1,0,8,2,.,1,1,3,0,.,1,1,1,54703,55017,3,3,1
3133413,6,4,2,1,2,C,6,6,7,6,3,13,1,0,6,6,7,2,1,0,1,8,2,.,2,2,3,0,.,1,1,1,54703,55017,3,3,1
3133421,6,5,2,1,2,D,6,4,13,6,3,10,4,0,6,4,13,1,0,0,0,8,2,.,3,3,3,0,.,1,1,1,54701,55033,3,3,1
3133439,5,8,2,1,2,C,4,5,6,4,5,6,3,1,4,5,6,3,1,0,0,8,2,.,2,2,3,0,.,1,1,1,54703,55017,3,3,1
3133447,6,5,2,1,2,D,2,6,4,7,9,11,7,.,2,6,4,3,0,0,0,2,1,.,3,3,3,0,.,1,1,1,54701,55033,3,3,1
3133462,6,9,3,1,2,C,5,5,13,5,4,7,3,0,5,5,13,5,0,1,0,8,2,.,3,2,3,0,.,1,1,1,54703,55017,3,3,1
3133496,6,9,1,1,1,C,6,4,10,7,9,11,7,.,6,4,10,4,0,0,0,8,4,.,3,3,3,0,.,1,1,1,54703,55017,3,3,1
3133561,5,2,1,1,1,D,6,3,10,7,9,11,7,.,6,3,10,4,1,0,0,8,4,.,2,2,3,0,.,1,1,1,54701,55033,3,3,1
3133587,6,7,2,1,2,D,5,5,4,5,5,6,3,0,5,5,4,2,0,1,0,8,2,.,3,1,3,0,.,1,1,1,54701,55033,3,3,1
3133603,6,4,2,1,2,D,5,4,13,6,6,2,2,0,5,4,13,5,0,0,0,8,2,.,5,5,3,0,.,1,1,1,54738,55011,3,3,1
3133611,6,10,5,1,2,D,5,7,1,4,7,7,3,0,5,7,1,3,0,1,0,6,2,.,4,4,3,0,.,1,1,1,54701,55033,3,3,1
3133652,6,6,2,1,2,C,5,4,13,6,5,10,4,0,5,4,13,5,0,0,2,8,2,.,2,3,3,0,.,1,1,1,54703,55017,3,3,1
3133660,6,1,1,1,2,C,6,3,10,7,9,11,7,.,6,3,10,4,0,0,0,8,4,.,2,1,3,0,.,1,1,1,54703,55017,3,3,1
