IRI_KEY,OU,EST_ACV,Market_Name,Open,Clsd,MskdName
234748,GR,19.09698,CHICAGO,435,9998,Chain55
234759,GR,20.20799,"WASHINGTON, DC",439,9998,Chain44
235057,GR,24.002,ST. LOUIS,435,1366,Chain105
235186,DR,1.066,NEW YORK,883,1403,Chain99
235190,GR,13.908,LOS ANGELES,435,9998,Chain5
235202,GR,24.627,HOUSTON,435,1328,Chain63
235223,GR,21.35899,LOS ANGELES,711,1123,Chain124
235350,GR,19.26599,"PHOENIX, AZ",435,1133,Chain1
235366,GR,39.19299,ST. LOUIS,435,1213,Chain32
235405,GR,19.26599,RICHMOND/NORFOLK,600,1333,Chain129
235434,GR,19.26599,MINNEAPOLIS/ST. PAUL,435,1239,Chain18
235527,GR,5.650997,GREEN BAY,1003,9998,Chain108
235555,GR,18.65199,SAN FRANCISCO,1031,1253,Chain7
235638,GR,27.60599,NEW YORK,435,1145,Chain89
235735,GR,10.47099,CHARLOTTE,761,9998,Chain35
235758,GR,13.855,RICHMOND/NORFOLK,807,9998,Chain123
235795,GR,8.615997,HARRISBURG/SCRANT,1112,9998,Chain133
235827,GR,17.73499,SACRAMENTO,435,1287,Chain117
235968,GR,15.19399,LOS ANGELES,797,9998,Chain94
236100,GR,16.381,WEST TEX/NEW MEX,493,9998,Chain4
236106,GR,15.698,"WASHINGTON, DC",842,1121,Chain133
236117,GR,23.17099,SAN FRANCISCO,435,9998,Chain117
236172,GR,19.26599,CHICAGO,435,1256,Chain71
236217,GR,22.83699,LOS ANGELES,435,9998,Chain94
236335,GR,26.10599,BOSTON,435,9998,Chain107
236343,GR,25.32999,NEW YORK,436,1225,Chain89
236396,GR,25.071,BOSTON,770,9998,Chain30
236401,GR,33.10397,PHILADELPHIA,436,1275,Chain89
236485,GR,19.21999,CHICAGO,945,9998,Chain31
236652,GR,5.917,DES MOINES,714,1216,Chain53
236729,GR,19.26599,KANSAS CITY,664,9998,Chain84
236736,GR,19.89,ROANOKE,588,1119,Chain62
236752,GR,20.91499,LOS ANGELES,983,1388,Chain94
236778,GR,16.754,"WASHINGTON, DC",439,9998,Chain44
236806,GR,33.43597,PHILADELPHIA,435,9998,Chain9
236824,GR,23.14099,HARRISBURG/SCRANT,865,9998,Chain133
236876,GR,24.45099,BOSTON,435,9998,Chain107
236970,GR,21.96599,LOS ANGELES,517,1408,Chain124
237068,GR,24.95699,ROANOKE,444,1232,Chain70
237082,GR,15.98399,SOUTH CAROLINA,471,9998,Chain16
237107,GR,22.02899,SALT LAKE CITY,620,9998,Chain110
